applicant_id,business_name,sector,vintage_months,gst_filing_regularity,gst_turnover_growth,gst_itc_mismatch_rate,upi_avg_daily_inflow,upi_inflow_volatility,upi_customer_concentration,aa_avg_balance,aa_bounce_rate,aa_existing_emi_ratio,bureau_thin_signal,default_12m
MSME1062,"Hayer, Ramaswamy and Dhingra",Services,78,0.849,0.09,0.161,24543.88,0.29,0.317,31441.47,0.053,0.512,0.362,0
MSME1063,Divan-Sane,Retail/Kirana,16,0.841,0.131,0.173,1998.31,0.284,0.197,33092.58,0.135,0.077,0.879,0
MSME1064,Sane Inc,Retail/Kirana,56,0.907,-0.124,0.295,12085.68,0.086,0.432,39813.87,0.183,0.371,0.514,1
MSME1065,Om-Zachariah,Wholesale Trade,35,0.571,0.084,0.312,10447.87,0.276,0.277,20864.2,0.162,0.121,0.318,1
MSME1066,Gupta Ltd,Food & Beverage,45,0.791,0.076,0.174,8290.49,0.256,0.111,115135.35,0.098,0.237,0.201,0
MSME1067,"Chaudhari, Bawa and Kota",Auto components,70,0.51,0.079,0.222,20691.57,0.451,0.109,64002.65,0.084,0.186,0.404,0
MSME1068,"Mohan, Hayer and Chada",Auto components,68,0.826,0.095,0.037,42131.11,0.458,0.427,45422.16,0.105,0.171,0.344,0
MSME1069,Pandey-Ghosh,Wholesale Trade,68,0.579,0.062,0.219,19112.15,0.214,0.217,53318.69,0.223,0.117,0.217,0
MSME1070,Palan Ltd,Textiles,60,0.877,-0.052,0.237,26101.74,0.036,0.221,21456.62,0.105,0.528,0.47,0
MSME1071,Mani PLC,Agri-trade,28,0.111,-0.238,0.255,23502.71,0.159,0.038,32201.85,0.127,0.193,0.063,0
MSME1072,Sarin and Sons,Wholesale Trade,48,0.698,0.102,0.312,14540.57,0.354,0.405,60501.08,0.004,0.107,0.16,1
MSME1073,Sridhar-Barad,Agri-trade,72,0.825,0.032,0.291,36024.35,0.316,0.506,54719.71,0.164,0.082,0.771,1
MSME1074,"Iyer, Subramaniam and Nair",Services,15,0.471,-0.306,0.236,14715.55,0.444,0.118,43650.14,0.013,0.14,0.466,0
MSME1075,Rattan LLC,Manufacturing,63,0.568,-0.187,0.426,7187.59,0.679,0.489,0.0,0.006,0.128,0.751,1
MSME1076,Bose-Maharaj,Retail/Kirana,79,0.873,-0.191,0.06,18841.36,0.281,0.627,69573.13,0.056,0.124,0.372,0
MSME1077,"Mittal, Johal and Arora",Agri-trade,17,0.748,0.258,0.293,21932.96,0.349,0.28,18562.85,0.132,0.158,0.42,0
MSME1078,Srinivasan Group,Textiles,33,0.332,-0.269,0.102,30104.02,0.255,0.304,96203.03,0.123,0.192,0.5,0
MSME1079,Kumer-Karnik,Agri-trade,11,0.836,-0.021,0.303,15900.38,0.634,0.281,68624.48,0.114,0.1,0.376,0
MSME1080,Sagar Inc,Manufacturing,49,0.603,0.067,0.264,20416.14,0.286,0.301,56438.14,0.033,0.112,0.555,0
MSME1081,"Sathe, Varty and Walla",Wholesale Trade,77,0.494,0.167,0.028,500.0,0.287,0.339,39105.05,0.301,0.304,0.625,0
MSME1082,"Dani, Sane and Manda",Retail/Kirana,35,0.631,0.037,0.421,19081.88,0.129,0.421,27444.35,0.217,0.291,0.711,1
MSME1083,Gulati Inc,Services,16,0.83,0.1,0.074,9598.99,0.248,0.176,65731.88,0.238,0.239,0.6,0
MSME1084,"Tak, Bhakta and Sood",Auto components,76,0.887,0.253,0.04,13611.4,0.419,0.219,70061.31,0.246,0.005,0.768,0
MSME1085,Nadig and Sons,Textiles,51,0.591,0.086,0.326,13551.48,0.071,0.473,16667.31,0.06,0.524,0.719,0
MSME1086,Rajagopal-Pal,Manufacturing,84,0.694,0.077,0.267,27001.78,0.608,0.426,97579.43,0.151,0.225,0.513,0
MSME1087,"Sura, Oak and Sanghvi",Services,26,0.494,0.074,0.214,35755.08,0.296,0.347,25693.17,0.067,0.068,0.631,0
MSME1088,Goda LLC,Retail/Kirana,29,0.695,-0.159,0.22,21587.02,0.366,0.588,74114.94,0.04,0.253,0.547,0
MSME1089,Singhal Ltd,Textiles,68,0.55,0.037,0.339,36904.52,0.286,0.091,12417.79,0.017,0.375,0.591,0
MSME1090,Dada-Wason,Manufacturing,78,0.596,0.173,0.298,19699.88,0.279,0.266,25132.66,0.028,0.501,0.408,1
MSME1091,"Mitra, Suresh and Mahal",Wholesale Trade,50,0.694,0.06,0.009,39971.45,0.169,0.107,69021.57,0.146,0.263,0.78,0
MSME1092,"Grewal, Radhakrishnan and Mangal",Agri-trade,11,0.759,0.3,0.167,27058.34,0.482,0.286,6927.31,0.131,0.143,0.586,0
MSME1093,Kala-Mammen,Auto components,45,0.761,0.047,0.352,12635.13,0.275,0.323,30438.11,0.027,0.146,0.301,0
MSME1094,Batta LLC,Retail/Kirana,60,0.372,-0.003,0.227,30686.27,0.379,0.074,39887.71,0.164,0.223,0.482,1
MSME1095,Krishna-Anand,Food & Beverage,27,0.443,-0.073,0.142,24274.13,0.302,0.139,31749.25,0.077,0.242,0.437,0
MSME1096,Narasimhan-Kala,Retail/Kirana,9,0.951,0.25,0.171,30576.35,0.18,0.254,49622.4,0.248,0.2,0.316,0
MSME1097,Gala-Raman,Agri-trade,7,0.806,0.174,0.247,32585.79,0.472,0.194,55006.47,0.107,0.271,0.659,1
MSME1098,Dubey-Chhabra,Manufacturing,9,0.482,0.141,0.227,21062.32,0.152,0.45,57554.97,0.121,0.245,0.482,1
MSME1099,Prabhu Inc,Food & Beverage,86,0.803,0.22,0.259,500.0,0.331,0.143,65702.74,0.029,0.104,0.196,1
MSME1100,Chokshi LLC,Manufacturing,63,0.876,0.014,0.344,21845.39,0.414,0.246,5492.25,0.187,0.435,0.414,0
MSME1101,Sen-Din,Retail/Kirana,70,0.842,-0.101,0.248,26895.38,0.295,0.227,19685.7,0.022,0.163,0.339,0
MSME1102,Ramachandran Group,Agri-trade,52,0.697,-0.014,0.228,8178.03,0.448,0.025,22010.54,0.06,0.321,0.786,0
MSME1103,"Mohanty, Banerjee and Kadakia",Auto components,16,0.783,0.126,0.164,42741.59,0.356,0.129,39774.76,0.095,0.109,0.345,0
MSME1104,Dar-Bedi,Auto components,52,0.866,0.063,0.197,14623.56,0.336,0.105,952.09,0.084,0.099,0.866,0
MSME1105,"Ramanathan, Bajaj and Dani",Food & Beverage,10,0.657,-0.279,0.177,18360.08,0.212,0.077,26752.56,0.221,0.148,0.492,1
MSME1106,Comar Inc,Retail/Kirana,61,0.928,-0.097,0.319,500.0,0.142,0.518,95133.64,0.241,0.022,0.302,0
MSME1107,Varughese Group,Wholesale Trade,42,0.838,-0.087,0.135,500.0,0.462,0.292,102750.38,0.331,0.429,0.694,0
MSME1108,Radhakrishnan Inc,Food & Beverage,68,0.89,-0.081,0.149,2219.65,0.04,0.026,35903.95,0.313,0.017,0.296,0
MSME1109,Sahni PLC,Services,83,0.785,0.024,0.073,35289.75,0.179,0.213,9285.49,0.129,0.262,0.35,1
MSME1110,Ravi-Parekh,Food & Beverage,30,0.63,0.066,0.194,22616.68,0.097,0.18,4928.38,0.166,0.264,0.265,0
MSME1111,Bhatia-Shukla,Textiles,59,0.915,-0.196,0.309,24974.39,0.142,0.12,9289.7,0.128,0.282,0.171,0
MSME1112,Balakrishnan-Dora,Auto components,26,0.778,0.106,0.417,11435.94,0.141,0.207,0.0,0.15,0.358,0.692,0
MSME1113,Roy-Bandi,Agri-trade,31,0.937,0.239,0.116,10469.07,0.145,0.159,66806.19,0.243,0.05,0.137,1
MSME1114,"Sura, Oza and Srinivasan",Textiles,90,0.49,0.265,0.171,26629.12,0.384,0.116,32115.82,0.218,0.092,0.86,0
MSME1115,Arora Inc,Auto components,12,0.748,-0.035,0.278,21213.29,0.04,0.559,83483.79,0.052,0.123,0.407,1
MSME1116,Tara LLC,Retail/Kirana,55,0.65,0.038,0.243,23339.3,0.328,0.37,51853.82,0.16,0.363,0.248,0
MSME1117,Oak Inc,Agri-trade,28,0.873,0.48,0.106,33592.16,0.236,0.211,56910.95,0.009,0.222,0.459,0
MSME1118,Mallick Inc,Retail/Kirana,47,0.616,-0.076,0.397,500.0,0.153,0.53,33756.33,0.189,0.104,0.337,1
MSME1119,Rama and Sons,Wholesale Trade,61,0.667,0.1,0.157,12913.8,0.149,0.125,38678.43,0.063,0.352,0.293,1
MSME1120,"Dua, Om and Bhardwaj",Food & Beverage,80,0.75,0.047,0.208,16872.17,0.726,0.153,0.0,0.036,0.141,0.515,0
MSME1121,Kari-Chawla,Textiles,15,0.837,0.12,0.115,12135.81,0.349,0.269,23224.25,0.065,0.379,0.815,0
MSME1122,"Vala, Hegde and Dey",Food & Beverage,12,0.95,-0.164,0.389,500.0,0.288,0.311,64974.99,0.087,0.106,0.494,0
MSME1123,Sunder Group,Textiles,48,0.567,0.014,0.065,33694.99,0.041,0.597,74646.91,0.261,0.466,0.545,1
MSME1124,"Munshi, Sant and Gill",Auto components,57,0.506,-0.04,0.229,27302.75,0.351,0.196,80898.84,0.06,0.18,0.675,0
MSME1125,Kala-Prasad,Manufacturing,33,0.553,0.012,0.171,21077.51,0.35,0.475,50861.43,0.222,0.088,0.602,0
MSME1126,Prashad Ltd,Services,48,0.337,-0.044,0.167,678.64,0.141,0.152,56973.1,0.058,0.139,0.343,0
MSME1127,"Sekhon, Dewan and Hegde",Manufacturing,23,0.862,0.046,0.018,34990.97,0.352,0.121,47335.7,0.078,0.036,0.704,0
MSME1128,Nagi Ltd,Auto components,70,0.722,0.145,0.119,27309.03,0.01,0.369,20741.09,0.046,0.105,0.566,0
MSME1129,"Lall, Devi and Dani",Auto components,18,0.557,0.112,0.205,20419.89,0.134,0.227,0.0,0.12,0.154,0.34,0
MSME1130,Talwar-Gulati,Food & Beverage,10,0.924,-0.142,0.22,16870.55,0.283,0.162,55098.71,0.004,0.071,0.672,0
MSME1131,Lala and Sons,Wholesale Trade,59,0.908,-0.066,0.385,8290.81,0.017,0.144,34693.93,0.095,0.143,0.511,0
MSME1132,"Kata, Mutti and Krish",Retail/Kirana,60,0.528,0.353,0.077,6468.04,0.41,0.212,19544.25,0.034,0.313,0.389,0
MSME1133,Patel-Tak,Services,91,0.666,0.005,0.243,9946.21,0.171,0.294,100323.49,0.118,0.112,0.672,0
MSME1134,"Bhavsar, Nayak and Sathe",Manufacturing,57,0.597,-0.176,0.09,14862.95,0.182,0.446,45008.1,0.12,0.269,0.408,0
MSME1135,"Tank, Bhalla and Ratti",Textiles,60,0.891,0.077,0.062,24820.91,0.095,0.465,30872.36,0.206,0.261,0.301,0
MSME1136,Chadha-Patil,Agri-trade,52,0.866,-0.053,0.317,22229.55,0.38,0.383,67084.33,0.024,0.526,0.213,0
MSME1137,Chauhan-Mangat,Agri-trade,75,0.731,0.152,0.038,5094.96,0.123,0.265,31032.4,0.057,0.162,0.585,0
MSME1138,Deep Group,Textiles,74,0.591,0.264,0.455,5953.34,0.553,0.131,56338.88,0.357,0.063,0.479,1
MSME1139,"Prabhu, Bath and Nair",Auto components,66,0.738,0.023,0.047,10537.97,0.207,0.27,61154.94,0.056,0.158,0.354,0
MSME1140,Nath and Sons,Food & Beverage,94,0.775,0.094,0.115,23131.63,0.302,0.19,0.0,0.201,0.104,0.741,0
MSME1141,Sibal LLC,Textiles,30,0.831,0.203,0.299,5325.06,0.304,0.083,87944.31,0.13,0.306,0.205,0
MSME1142,Sood-Sharma,Services,46,0.629,0.014,0.406,9869.52,0.087,0.219,64324.45,0.057,0.23,0.773,1
MSME1143,Bhagat-Dhar,Agri-trade,45,0.906,-0.012,0.22,33456.79,0.183,0.053,91376.89,0.106,0.122,0.612,0
MSME1144,Butala-Shenoy,Manufacturing,53,0.562,-0.005,0.215,11390.2,0.633,0.314,70383.76,0.357,0.275,0.312,1
MSME1145,Chacko PLC,Manufacturing,48,0.734,-0.032,0.29,17294.61,0.171,0.415,42485.32,0.055,0.044,0.437,0
MSME1146,"Toor, Borah and Deep",Food & Beverage,72,0.641,0.101,0.285,4855.28,0.579,0.235,39149.87,0.057,0.118,0.484,1
MSME1147,"Kurian, Murthy and Varkey",Wholesale Trade,54,0.385,0.123,0.119,11269.21,0.502,0.324,0.0,0.048,0.506,0.494,1
MSME1148,Parmer-Mittal,Agri-trade,71,0.821,0.182,0.179,17059.52,0.181,0.075,60158.03,0.025,0.404,0.629,0
MSME1149,Borra-Khanna,Agri-trade,35,0.881,0.09,0.005,26580.07,0.149,0.245,47039.1,0.017,0.713,0.631,1
MSME1150,"Tata, Singhal and Murthy",Agri-trade,72,0.829,0.121,0.188,2059.26,0.618,0.238,50244.58,0.145,0.177,0.432,0
MSME1151,Sandal-Wason,Textiles,24,0.792,-0.182,0.146,22843.06,0.481,0.166,22873.29,0.116,0.029,0.43,1
MSME1152,Nagi and Sons,Food & Beverage,32,0.89,-0.075,0.138,20164.02,0.143,0.313,28760.57,0.144,0.108,0.847,0
MSME1153,"Madan, Sarma and Dhawan",Services,22,0.541,0.106,0.128,20195.15,0.483,0.213,55707.27,0.033,0.162,0.462,0
MSME1154,Majumdar-Rastogi,Wholesale Trade,18,0.762,0.32,0.292,500.0,0.332,0.203,86551.79,0.113,0.257,0.941,0
MSME1155,"Kalla, Sachdeva and Dhaliwal",Services,20,0.626,-0.037,0.269,22075.11,0.168,0.161,78802.94,0.051,0.451,0.425,1
MSME1156,Sastry-Ahluwalia,Services,73,0.609,0.009,0.347,14406.17,0.15,0.074,68427.95,0.016,0.207,0.473,0
MSME1157,"Sarraf, Kalita and Mohan",Agri-trade,80,0.715,0.184,0.022,17367.34,0.344,0.202,0.0,0.329,0.198,0.642,1
MSME1158,Ramanathan Ltd,Wholesale Trade,52,0.694,0.18,0.092,500.0,0.284,0.242,46171.35,0.118,0.105,0.745,0
MSME1159,"Mahal, Bahri and Srivastava",Services,26,0.817,0.06,0.179,6635.25,0.068,0.276,33602.95,0.091,0.137,0.716,0
MSME1160,Trivedi LLC,Wholesale Trade,28,0.587,0.282,0.219,6760.83,0.423,0.158,59066.09,0.106,0.028,0.298,0
MSME1161,Varkey-Goswami,Wholesale Trade,73,0.914,0.134,0.116,37395.38,0.365,0.046,42238.72,0.041,0.715,0.401,1
MSME1162,Krishnamurthy-Naidu,Textiles,31,0.51,0.173,0.185,21931.21,0.265,0.099,30650.02,0.072,0.077,0.641,0
MSME1163,Sandal Inc,Manufacturing,29,0.468,0.15,0.208,30129.38,0.351,0.327,106344.7,0.079,0.1,0.466,0
MSME1164,Chaudhari-Sur,Auto components,95,0.664,0.045,0.254,2932.08,0.527,0.26,15460.42,0.184,0.091,0.853,1
MSME1165,Pathak Inc,Food & Beverage,17,0.911,-0.089,0.263,8812.95,0.354,0.266,22790.12,0.093,0.084,0.757,0
MSME1166,Narayan and Sons,Agri-trade,12,0.544,0.056,0.225,21040.78,0.446,0.124,60796.72,0.146,0.585,0.47,0
MSME1167,Rajan LLC,Auto components,17,0.759,-0.118,0.361,21554.04,0.173,0.229,49128.74,0.308,0.156,0.615,0
MSME1168,Handa-Bhatti,Food & Beverage,50,0.842,0.209,0.389,36330.38,0.468,0.316,25825.84,0.039,0.291,0.602,0
MSME1169,Dewan Inc,Manufacturing,59,0.764,0.177,0.272,500.0,0.385,0.379,66466.14,0.058,0.51,0.733,1
MSME1170,"Keer, More and Nagar",Textiles,84,0.765,0.169,0.214,17591.69,0.483,0.555,0.0,0.199,0.216,0.376,1
MSME1171,Ganesh LLC,Auto components,10,0.632,0.1,0.063,6172.13,0.364,0.203,15423.75,0.119,0.139,0.701,0
MSME1172,Gole Inc,Manufacturing,10,0.603,-0.017,0.056,18148.33,0.087,0.184,65352.09,0.138,0.065,0.407,1
MSME1173,Vig-Divan,Textiles,86,0.878,0.145,0.058,3551.8,0.144,0.221,61815.85,0.056,0.441,0.495,0
MSME1174,Jaggi and Sons,Textiles,8,0.916,0.089,0.427,31497.55,0.296,0.328,13354.73,0.077,0.198,0.563,1
MSME1175,Devan PLC,Textiles,85,0.721,0.261,0.261,15405.93,0.238,0.086,33276.87,0.097,0.505,0.366,0
MSME1176,Tak-Wali,Agri-trade,89,0.243,0.288,0.156,22366.64,0.601,0.121,2092.4,0.216,0.035,0.596,0
MSME1177,Sant Group,Services,59,0.756,0.138,0.119,14062.29,0.165,0.208,18746.71,0.025,0.187,0.366,0
MSME1178,Bhatnagar Ltd,Agri-trade,64,0.942,0.232,0.329,30153.76,0.421,0.229,59173.53,0.121,0.429,0.915,0
MSME1179,"Ben, Bahri and Reddy",Manufacturing,21,0.953,0.159,0.026,25002.3,0.281,0.067,54740.45,0.283,0.109,0.831,0
MSME1180,"Badal, Sidhu and Dani",Textiles,6,0.506,0.082,0.333,48461.8,0.295,0.269,29466.0,0.088,0.092,0.598,0
MSME1181,Bhatnagar Group,Textiles,26,0.83,-0.011,0.038,13473.17,0.166,0.435,68131.09,0.08,0.413,0.396,1
MSME1182,Bala and Sons,Manufacturing,26,0.865,0.09,0.195,8751.85,0.316,0.144,73864.94,0.27,0.548,0.46,1
MSME1183,Srinivasan-Memon,Wholesale Trade,79,0.922,-0.01,0.375,33896.84,0.316,0.378,29936.25,0.042,0.183,0.453,1
MSME1184,Karpe Ltd,Manufacturing,19,0.798,0.146,0.352,14065.31,0.134,0.187,93734.94,0.132,0.26,0.253,0
MSME1185,Gulati-Sen,Agri-trade,48,0.614,0.149,0.243,17758.87,0.115,0.464,64896.46,0.013,0.576,0.432,0
MSME1186,"Vala, Basak and Dhillon",Textiles,54,0.631,-0.15,0.248,8422.25,0.151,0.256,45111.16,0.089,0.144,0.118,1
MSME1187,"Banik, Parekh and Bhalla",Agri-trade,28,0.537,0.013,0.078,20438.0,0.089,0.267,2348.14,0.153,0.427,0.495,0
MSME1188,Boase-Mander,Services,64,0.793,-0.14,0.285,500.0,0.202,0.208,20782.69,0.188,0.077,0.438,0
MSME1189,Banerjee-Chauhan,Textiles,17,0.621,0.153,0.341,31214.31,0.177,0.145,64319.78,0.234,0.069,0.16,0
MSME1190,"Bala, Chatterjee and De",Auto components,43,0.589,-0.101,0.044,9771.52,0.331,0.219,74954.04,0.128,0.455,0.845,1
MSME1191,"Pandey, Varughese and Shah",Auto components,16,0.684,-0.137,0.083,30020.51,0.44,0.237,40746.63,0.191,0.449,0.638,0
MSME1192,Boase-Om,Food & Beverage,16,0.866,-0.249,0.365,8382.73,0.055,0.081,53597.81,0.068,0.64,0.923,1
MSME1193,Nazareth-Sarma,Services,81,0.916,-0.331,0.057,13426.14,0.392,0.487,5209.54,0.093,0.407,0.655,0
MSME1194,"Nigam, Kumer and Mane",Wholesale Trade,51,0.517,0.214,0.119,32557.48,0.337,0.17,89554.69,0.066,0.14,0.362,0
MSME1195,Loyal LLC,Auto components,59,0.749,-0.096,0.124,32718.42,0.6,0.511,75218.97,0.048,0.317,0.669,0
MSME1196,"Gola, Uppal and Dubey",Agri-trade,14,0.783,0.116,0.57,37743.99,0.353,0.291,81984.11,0.053,0.499,0.181,1
